Method:,erol,,
Host Date-Time:,7/12/23 @ 14:4:9,,
Header Version:,1,,
System Temp (C):,40.42,,
Detector Temp (C):,27.07,,
Humidity (%):,17.35,,
Lamp PD:,3427,,
Shift Vector Coefficients:,-4.80707,0.053312,-0.000138677,,
Pixel to Wavelength Coefficients:,1763.6,-0.910608,-0.000244451,,
Serial Number:,6110061,,
Scan Config Name:,erol,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,  11.71,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,1,,
PGA Gain:,64,,
Total Measurement Time in sec:,  1.592,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.370984,-0.754687,22318.000000,126865.000000
905.248306,-0.740499,26694.000000,146863.000000
909.121227,-0.733180,30240.000000,163592.000000
912.989749,-0.709136,35053.000000,179416.000000
918.140932,-0.704693,39668.000000,200971.000000
921.999187,-0.695763,44171.000000,219230.000000
925.853041,-0.690050,49463.000000,242287.000000
929.702495,-0.690854,55176.000000,270772.000000
933.547549,-0.684384,62603.000000,302677.000000
937.388203,-0.679745,70557.000000,337509.000000
941.224457,-0.673352,79215.000000,373387.000000
946.332618,-0.667064,90003.000000,418139.000000
950.158605,-0.662882,97001.000000,446332.000000
953.980191,-0.657017,104340.000000,473661.000000
957.797378,-0.654383,111157.000000,501556.000000
961.610165,-0.651718,117414.000000,526548.000000
965.418551,-0.649174,124361.000000,554445.000000
969.222537,-0.645997,131496.000000,581982.000000
974.287675,-0.644170,140925.000000,621095.000000
978.081394,-0.642888,148023.000000,650455.000000
981.870713,-0.640506,155197.000000,678249.000000
985.655632,-0.640197,162010.000000,707520.000000
989.436151,-0.636281,170019.000000,735832.000000
993.212270,-0.635811,176266.000000,762044.000000
998.240251,-0.632703,184964.000000,793944.000000
1002.006103,-0.632427,190519.000000,817270.000000
1005.767554,-0.629514,196102.000000,835596.000000
1009.524606,-0.628598,200098.000000,850826.000000
1013.277258,-0.626094,204164.000000,863124.000000
1017.025509,-0.626313,206631.000000,873995.000000
1020.769360,-0.624344,209246.000000,881051.000000
1025.754318,-0.622278,211932.000000,888126.000000
1029.487902,-0.620931,213316.000000,891158.000000
1033.217086,-0.620275,213821.000000,891918.000000
1036.941870,-0.620490,213615.000000,891501.000000
1040.662255,-0.618743,213930.000000,889232.000000
1044.378238,-0.617450,213905.000000,886484.000000
1048.089822,-0.617016,213173.000000,882568.000000
1053.031756,-0.616229,211884.000000,875643.000000
1056.733073,-0.614869,211098.000000,869667.000000
1060.429990,-0.614739,209880.000000,864391.000000
1064.122506,-0.613905,209078.000000,859436.000000
1067.810623,-0.613447,208224.000000,855023.000000
1071.494339,-0.613663,206922.000000,850100.000000
1076.399116,-0.612462,206676.000000,846743.000000
1080.072566,-0.612231,206200.000000,844345.000000
1083.741615,-0.612950,205636.000000,843431.000000
1087.406264,-0.612156,205874.000000,842864.000000
1091.066513,-0.611214,205797.000000,840723.000000
1094.722362,-0.612201,205514.000000,841478.000000
1098.373811,-0.612137,205628.000000,841820.000000
1103.235565,-0.610498,206788.000000,843381.000000
1106.876747,-0.611602,206389.000000,843896.000000
1110.513529,-0.610988,206615.000000,843626.000000
1114.145910,-0.611576,206738.000000,845272.000000
1117.773892,-0.612054,206547.000000,845421.000000
1121.397473,-0.611332,207088.000000,846228.000000
1125.016654,-0.612685,206464.000000,846309.000000
1129.835385,-0.611214,207418.000000,847346.000000
1133.444299,-0.611474,207695.000000,848985.000000
1137.048813,-0.609181,208493.000000,847760.000000
1140.648927,-0.610310,208223.000000,848866.000000
1144.244641,-0.609061,208337.000000,846890.000000
1147.835955,-0.607979,208774.000000,846556.000000
1152.617529,-0.608067,208238.000000,844553.000000
1156.198576,-0.606870,208484.000000,843224.000000
1159.775223,-0.605541,208962.000000,842574.000000
1163.347470,-0.604603,209317.000000,842185.000000
1166.915316,-0.603477,209935.000000,842484.000000
1170.478763,-0.600571,211435.000000,842845.000000
1174.037809,-0.597195,213105.000000,842925.000000
1178.776359,-0.595352,214394.000000,844431.000000
1182.325139,-0.588476,217962.000000,845000.000000
1185.869518,-0.585078,220075.000000,846543.000000
1189.409497,-0.581867,222694.000000,850307.000000
1192.945076,-0.579834,224594.000000,853557.000000
1196.476255,-0.577288,226828.000000,857007.000000
1200.003034,-0.574709,229675.000000,862626.000000
1204.698561,-0.573501,232729.000000,871668.000000
1208.215073,-0.571760,235830.000000,879750.000000
1211.727185,-0.571283,238631.000000,889222.000000
1215.234896,-0.569758,241974.000000,898518.000000
1218.738208,-0.568269,245450.000000,908306.000000
1222.237119,-0.567911,248996.000000,920669.000000
1226.895489,-0.566890,254001.000000,936970.000000
1230.384134,-0.567611,257796.000000,952549.000000
1233.868378,-0.568578,261030.000000,966649.000000
1237.348222,-0.570456,264910.000000,985268.000000
1240.823666,-0.570298,269187.000000,1000812.000000
1244.294710,-0.568886,274535.000000,1017381.000000
1247.761354,-0.570891,278817.000000,1038030.000000
1252.376701,-0.570785,285943.000000,1064300.000000
1255.833078,-0.570564,292339.000000,1087555.000000
1259.285055,-0.570197,298387.000000,1109115.000000
1262.732632,-0.570839,303484.000000,1129731.000000
1266.175808,-0.571422,308643.000000,1150478.000000
1269.614584,-0.571035,313923.000000,1169118.000000
1273.048961,-0.570437,319097.000000,1186752.000000
1277.621284,-0.572327,324380.000000,1211660.000000
1281.045394,-0.571638,329793.000000,1229927.000000
1284.465103,-0.572809,333450.000000,1246923.000000
1287.880412,-0.573758,337104.000000,1263344.000000
1291.291321,-0.574710,340768.000000,1279878.000000
1294.697830,-0.574518,344605.000000,1293717.000000
1299.232997,-0.574782,349244.000000,1311931.000000
1302.629239,-0.574638,352441.000000,1323502.000000
1306.021081,-0.574491,355144.000000,1333201.000000
1309.408522,-0.574585,357732.000000,1343208.000000
1312.791564,-0.574225,360160.000000,1351202.000000
1316.170205,-0.574434,362173.000000,1359408.000000
1319.544447,-0.573777,364403.000000,1365712.000000
1324.036591,-0.573716,366317.000000,1372692.000000
1327.400565,-0.574238,366589.000000,1375364.000000
1330.760139,-0.571932,368623.000000,1375669.000000
1334.115313,-0.572711,368498.000000,1377672.000000
1337.466087,-0.569975,370046.000000,1374771.000000
1340.812461,-0.568687,370709.000000,1373157.000000
1344.154435,-0.566792,371502.000000,1370103.000000
1348.603555,-0.564304,371615.000000,1362691.000000
1351.935262,-0.562322,370997.000000,1354231.000000
1355.262569,-0.557254,371791.000000,1341384.000000
1358.585475,-0.555165,370879.000000,1331672.000000
1361.903982,-0.551386,370539.000000,1318925.000000
1365.218088,-0.547044,371657.000000,1309745.000000
1369.630052,-0.542656,372397.000000,1299158.000000
1372.933891,-0.540052,372524.000000,1291832.000000
1376.233331,-0.538077,372314.000000,1285247.000000
1379.528370,-0.536504,371243.000000,1276916.000000
1382.819009,-0.536538,369231.000000,1270094.000000
1386.105248,-0.535179,367705.000000,1260895.000000
1389.387087,-0.532401,367073.000000,1250701.000000
1393.756027,-0.529252,365715.000000,1237071.000000
1397.027599,-0.525735,365152.000000,1225204.000000
1400.294771,-0.520507,365097.000000,1210363.000000
1403.557542,-0.516080,364333.000000,1195580.000000
1406.815914,-0.508188,365413.000000,1177529.000000
1410.069885,-0.500485,365734.000000,1157845.000000
1413.319456,-0.492653,364947.000000,1134705.000000
1417.645373,-0.480214,365539.000000,1104453.000000
1420.884678,-0.472151,365230.000000,1083221.000000
1424.119582,-0.463512,365533.000000,1062769.000000
1427.350086,-0.456424,364906.000000,1043771.000000
1430.576190,-0.449081,365583.000000,1028176.000000
1433.797894,-0.443159,365648.000000,1014430.000000
1437.015198,-0.437929,365698.000000,1002424.000000
1441.298091,-0.433721,364890.000000,990566.000000
1444.505128,-0.429930,364741.000000,981555.000000
1447.707765,-0.426334,364393.000000,972533.000000
1450.906001,-0.424319,363044.000000,964446.000000
1454.099838,-0.420989,362635.000000,956001.000000
1457.289274,-0.417137,361653.000000,944993.000000
1461.535011,-0.412537,360303.000000,931548.000000
1464.714180,-0.410880,358064.000000,922234.000000
1467.888950,-0.405906,356949.000000,908892.000000
1471.059319,-0.402034,355912.000000,898208.000000
1474.225288,-0.399035,353737.000000,886576.000000
1477.386857,-0.396367,352477.000000,878007.000000
1480.544025,-0.395188,349693.000000,868711.000000
1484.746739,-0.392372,347943.000000,858777.000000
1487.893641,-0.392849,344781.000000,851907.000000
1491.036142,-0.392272,342531.000000,845225.000000
1494.174244,-0.393129,340170.000000,841056.000000
1497.307945,-0.392896,337701.000000,834504.000000
1500.437247,-0.396105,334446.000000,832590.000000
1503.562148,-0.397515,331876.000000,828878.000000
1507.721838,-0.400199,327918.000000,824070.000000
