Method:,erol,,
Host Date-Time:,7/12/23 @ 14:3:34,,
Header Version:,1,,
System Temp (C):,40.28,,
Detector Temp (C):,26.06,,
Humidity (%):,17.35,,
Lamp PD:,3364,,
Shift Vector Coefficients:,-4.80707,0.053312,-0.000138677,,
Pixel to Wavelength Coefficients:,1763.6,-0.910608,-0.000244451,,
Serial Number:,6110061,,
Scan Config Name:,erol,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,  11.71,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,1,,
PGA Gain:,64,,
Total Measurement Time in sec:,  1.657,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.370984,-0.746336,22318.000000,124449.000000
905.248306,-0.734921,26694.000000,144989.000000
909.121227,-0.729359,30240.000000,162159.000000
912.989749,-0.703594,35053.000000,177141.000000
918.140932,-0.698611,39668.000000,198176.000000
921.999187,-0.686925,44171.000000,214814.000000
925.853041,-0.684593,49463.000000,239262.000000
929.702495,-0.684929,55176.000000,267103.000000
933.547549,-0.680704,62603.000000,300123.000000
937.388203,-0.674733,70557.000000,333636.000000
941.224457,-0.667255,79215.000000,368182.000000
946.332618,-0.660616,90003.000000,411977.000000
950.158605,-0.657230,97001.000000,440561.000000
953.980191,-0.652793,104340.000000,469077.000000
957.797378,-0.648852,111157.000000,495209.000000
961.610165,-0.648003,117414.000000,522063.000000
965.418551,-0.643341,124361.000000,547048.000000
969.222537,-0.640322,131496.000000,574427.000000
974.287675,-0.637636,140925.000000,611821.000000
978.081394,-0.635231,148023.000000,639087.000000
981.870713,-0.634517,155197.000000,668961.000000
985.655632,-0.633451,162010.000000,696615.000000
989.436151,-0.629486,170019.000000,724408.000000
993.212270,-0.629675,176266.000000,751352.000000
998.240251,-0.626543,184964.000000,782763.000000
1002.006103,-0.625307,190519.000000,803980.000000
1005.767554,-0.622981,196102.000000,823120.000000
1009.524606,-0.622374,200098.000000,838719.000000
1013.277258,-0.619606,204164.000000,850326.000000
1017.025509,-0.619507,206631.000000,860405.000000
1020.769360,-0.617793,209246.000000,867860.000000
1025.754318,-0.615711,211932.000000,874798.000000
1029.487902,-0.614128,213316.000000,877307.000000
1033.217086,-0.613808,213821.000000,878736.000000
1036.941870,-0.613998,213615.000000,878274.000000
1040.662255,-0.612678,213930.000000,876899.000000
1044.378238,-0.610970,213905.000000,873355.000000
1048.089822,-0.610509,213173.000000,869444.000000
1053.031756,-0.609930,211884.000000,863035.000000
1056.733073,-0.608702,211098.000000,857405.000000
1060.429990,-0.608305,209880.000000,851680.000000
1064.122506,-0.607621,209078.000000,847090.000000
1067.810623,-0.607298,208224.000000,843003.000000
1071.494339,-0.608130,206922.000000,839338.000000
1076.399116,-0.607059,206676.000000,836275.000000
1080.072566,-0.606787,206200.000000,833827.000000
1083.741615,-0.607400,205636.000000,832721.000000
1087.406264,-0.605979,205874.000000,830960.000000
1091.066513,-0.605196,205797.000000,829154.000000
1094.722362,-0.606811,205514.000000,831098.000000
1098.373811,-0.607235,205628.000000,832372.000000
1103.235565,-0.605627,206788.000000,833973.000000
1106.876747,-0.606755,206389.000000,834530.000000
1110.513529,-0.606121,206615.000000,834224.000000
1114.145910,-0.606924,206738.000000,836266.000000
1117.773892,-0.607412,206547.000000,836432.000000
1121.397473,-0.606729,207088.000000,837305.000000
1125.016654,-0.608103,206464.000000,837427.000000
1129.835385,-0.606777,207418.000000,838732.000000
1133.444299,-0.606568,207695.000000,839449.000000
1137.048813,-0.604922,208493.000000,839487.000000
1140.648927,-0.604841,208223.000000,838242.000000
1144.244641,-0.604050,208337.000000,837176.000000
1147.835955,-0.603207,208774.000000,837305.000000
1152.617529,-0.602924,208238.000000,834610.000000
1156.198576,-0.601495,208484.000000,832852.000000
1159.775223,-0.599698,208962.000000,831314.000000
1163.347470,-0.598360,209317.000000,830166.000000
1166.915316,-0.597196,209935.000000,830387.000000
1170.478763,-0.593950,211435.000000,830094.000000
1174.037809,-0.590338,213105.000000,829720.000000
1178.776359,-0.588088,214394.000000,830425.000000
1182.325139,-0.580647,217962.000000,829903.000000
1185.869518,-0.576852,220075.000000,830659.000000
1189.409497,-0.572418,222694.000000,832006.000000
1192.945076,-0.570825,224594.000000,836032.000000
1196.476255,-0.568374,226828.000000,839596.000000
1200.003034,-0.566225,229675.000000,845939.000000
1204.698561,-0.564748,232729.000000,854277.000000
1208.215073,-0.562962,235830.000000,862107.000000
1211.727185,-0.561592,238631.000000,869599.000000
1215.234896,-0.560435,241974.000000,879434.000000
1218.738208,-0.558998,245450.000000,889122.000000
1222.237119,-0.558431,248996.000000,900790.000000
1226.895489,-0.557616,254001.000000,917174.000000
1230.384134,-0.557843,257796.000000,931364.000000
1233.868378,-0.559282,261030.000000,946176.000000
1237.348222,-0.560008,264910.000000,961848.000000
1240.823666,-0.560682,269187.000000,978894.000000
1244.294710,-0.560067,274535.000000,996931.000000
1247.761354,-0.561870,278817.000000,1016692.000000
1252.376701,-0.562574,285943.000000,1044368.000000
1255.833078,-0.561519,292339.000000,1065137.000000
1259.285055,-0.560956,298387.000000,1085765.000000
1262.732632,-0.562451,303484.000000,1108121.000000
1266.175808,-0.562572,308643.000000,1127271.000000
1269.614584,-0.562399,313923.000000,1146099.000000
1273.048961,-0.561800,319097.000000,1163384.000000
1277.621284,-0.563955,324380.000000,1188526.000000
1281.045394,-0.563497,329793.000000,1207087.000000
1284.465103,-0.564536,333450.000000,1223396.000000
1287.880412,-0.565375,337104.000000,1239192.000000
1291.291321,-0.566412,340768.000000,1255656.000000
1294.697830,-0.566782,344605.000000,1270877.000000
1299.232997,-0.567381,349244.000000,1289763.000000
1302.629239,-0.567249,352441.000000,1301173.000000
1306.021081,-0.566997,355144.000000,1310394.000000
1309.408522,-0.567298,357732.000000,1320856.000000
1312.791564,-0.567347,360160.000000,1329973.000000
1316.170205,-0.566929,362173.000000,1336119.000000
1319.544447,-0.566484,364403.000000,1342968.000000
1324.036591,-0.566667,366317.000000,1350591.000000
1327.400565,-0.567286,366589.000000,1353522.000000
1330.760139,-0.564712,368623.000000,1352988.000000
1334.115313,-0.564799,368498.000000,1352802.000000
1337.466087,-0.562969,370046.000000,1352772.000000
1340.812461,-0.561393,370709.000000,1350287.000000
1344.154435,-0.559259,371502.000000,1346542.000000
1348.603555,-0.555695,371615.000000,1335943.000000
1351.935262,-0.553457,370997.000000,1326868.000000
1355.262569,-0.548291,371791.000000,1313983.000000
1358.585475,-0.545449,370879.000000,1302212.000000
1361.903982,-0.541827,370539.000000,1290212.000000
1365.218088,-0.536938,371657.000000,1279618.000000
1369.630052,-0.532156,372397.000000,1268125.000000
1372.933891,-0.529698,372524.000000,1261398.000000
1376.233331,-0.527634,372314.000000,1254709.000000
1379.528370,-0.526277,371243.000000,1247198.000000
1382.819009,-0.525715,369231.000000,1238835.000000
1386.105248,-0.524449,367705.000000,1230123.000000
1389.387087,-0.521988,367073.000000,1221071.000000
1393.756027,-0.517986,365715.000000,1205393.000000
1397.027599,-0.514379,365152.000000,1193583.000000
1400.294771,-0.508823,365097.000000,1178233.000000
1403.557542,-0.504121,364333.000000,1163106.000000
1406.815914,-0.495419,365413.000000,1143413.000000
1410.069885,-0.487240,365734.000000,1123067.000000
1413.319456,-0.479697,364947.000000,1101354.000000
1417.645373,-0.466463,365539.000000,1070033.000000
1420.884678,-0.457850,365230.000000,1048133.000000
1424.119582,-0.448428,365533.000000,1026490.000000
1427.350086,-0.441185,364906.000000,1007781.000000
1430.576190,-0.433981,365583.000000,993041.000000
1433.797894,-0.428442,365648.000000,980631.000000
1437.015198,-0.422690,365698.000000,967861.000000
1441.298091,-0.417731,364890.000000,954758.000000
1444.505128,-0.413989,364741.000000,946179.000000
1447.707765,-0.411187,364393.000000,939197.000000
1450.906001,-0.408164,363044.000000,929230.000000
1454.099838,-0.404320,362635.000000,920005.000000
1457.289274,-0.401394,361653.000000,911351.000000
1461.535011,-0.395352,360303.000000,895405.000000
1464.714180,-0.393430,358064.000000,885913.000000
1467.888950,-0.389237,356949.000000,874668.000000
1471.059319,-0.384556,355912.000000,862778.000000
1474.225288,-0.382166,353737.000000,852799.000000
1477.386857,-0.378630,352477.000000,842870.000000
1480.544025,-0.378062,349693.000000,835120.000000
1484.746739,-0.375223,347943.000000,825526.000000
1487.893641,-0.375800,344781.000000,819112.000000
1491.036142,-0.375743,342531.000000,813660.000000
1494.174244,-0.375948,340170.000000,808433.000000
1497.307945,-0.375392,337701.000000,801538.000000
1500.437247,-0.378918,334446.000000,800284.000000
1503.562148,-0.379714,331876.000000,795591.000000
1507.721838,-0.382864,327918.000000,791825.000000
1510.836473,-0.385209,324967.000000,788947.000000
1513.946707,-0.387739,321718.000000,785623.000000
1517.052541,-0.387986,319073.000000,779608.000000
1520.153975,-0.389746,315575.000000,774191.000000
1523.251008,-0.391985,311252.000000,767534.000000
1527.373542,-0.392756,306492.000000,757139.000000
1530.460309,-0.392617,302471.000000,746966.000000
1533.542676,-0.392870,298873.000000,738510.000000
1536.620642,-0.393584,294593.000000,729132.000000
1539.694209,-0.393480,290524.000000,718889.000000
1542.763375,-0.394619,285805.000000,709069.000000
1545.828141,-0.395952,281854.000000,701417.000000
1549.907652,-0.397570,274841.000000,686517.000000
1552.962151,-0.397979,270515.000000,676348.000000
1556.012250,-0.400860,265203.000000,667481.000000
1559.057949,-0.402530,260042.000000,657013.000000
1562.099248,-0.402666,255973.000000,646935.000000
1565.136147,-0.404502,250523.000000,635842.000000
1568.168646,-0.405548,245616.000000,624891.000000
1572.205133,-0.407394,238774.000000,610072.000000
1575.227365,-0.408087,234179.000000,599287.000000
1578.245196,-0.408963,228934.000000,587048.000000
1581.258628,-0.409418,223478.000000,573658.000000
1584.267659,-0.412535,218239.000000,564244.000000
1587.272290,-0.413947,213357.000000,553419.000000
1591.271621,-0.417213,206678.000000,540141.000000
1594.265985,-0.422431,200655.000000,530739.000000
1597.255949,-0.425333,196105.000000,522182.000000
1600.241513,-0.428744,191413.000000,513707.000000
1603.222677,-0.432871,186271.000000,504680.000000
1606.199441,-0.436466,181567.000000,496024.000000
1609.171805,-0.439228,176656.000000,485687.000000
1613.128112,-0.445765,170106.000000,474771.000000
1616.090209,-0.449269,165195.000000,464800.000000
1619.047905,-0.452468,160661.000000,455385.000000
1622.001202,-0.458480,154762.000000,444779.000000
1624.950098,-0.466047,149284.000000,436576.000000
1627.894595,-0.468451,144304.000000,424355.000000
1630.834691,-0.476830,138573.000000,415440.000000
1634.747975,-0.485453,131373.000000,401753.000000
1637.677804,-0.490592,126061.000000,390097.000000
1640.603233,-0.501034,120043.000000,380514.000000
1643.524262,-0.510737,114222.000000,370243.000000
1646.440891,-0.515057,109595.000000,358796.000000
1649.353120,-0.523367,104146.000000,347544.000000
1653.229247,-0.512562,102337.000000,333115.000000
1656.131209,-0.506090,100118.000000,321072.000000
1659.028770,-0.512957,95076.000000,309762.000000
1661.921932,-0.502179,93881.000000,298371.000000
1664.810693,-0.499891,90392.000000,285773.000000
1667.695055,-0.500316,85969.000000,272056.000000
1670.575016,-0.496217,82225.000000,257763.000000
1674.408120,-0.473644,78925.000000,234887.000000
1677.277814,-inf,0.000000,215497.000000
1680.143108,-inf,0.000000,194905.000000
1683.004002,nan,-2147483648.000000,171685.000000
1685.860496,nan,-2147483648.000000,149462.000000
1688.712590,nan,-2147483648.000000,127696.000000
1691.560283,nan,-2147483648.000000,106649.000000
1695.350364,nan,-2147483648.000000,85232.000000
1698.187790,nan,-2147483648.000000,71515.000000
1701.020817,-inf,0.000000,59612.000000
